section,title,institution,division,department,salary_range,agency_insertion_num,application_deadline,keywords,description_date
US: Other Academic (Visiting or Temporary),Watson Institute Postdoctoral Fellows Program 2022-2024,Brown University,Watson Institute for International and Public Affairs,,"$60,000.00",,2021-10-12 00:00:00,,2021-10-12
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenure Track Assistant Professor ,Bryn Mawr College,,Economics,,,2021-11-15 00:00:00,Environmental Economics/Industrial Organization,
Full-Time Nonacademic,Research Economist,Bureau of Economic Analysis,Office of the Associate Director for National Economic Accounts,,"$72,750-$159,286",,2021-11-30 00:00:00,Quantitative Methods/Econometric Modeling/Seasonal Adjustment/Statistical Methods/Data Collection/Estimation Methodology/Production/General Aggregative Models/Consumption/Saving/Distribution/Investment/Prices/Business Fluctuations/Measurement/Business Economics/Accounting/Economic Growth/Aggregate Productivity/Welfare/Well-Being/Inequality/Natural Resource Economics/Environmental Economics/Ecological Economics,2021-11-30
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Full Professor/Associate Professor/ Assistant Professor,Business School of Sun Yat-sen University,,,,,2022-07-31 00:00:00,Economics/Finance/Accounting/Management,
US: Other Academic (Visiting or Temporary),Linde Postdoctoral Fellow,California Institute of Technology,,,,,2022-01-31 00:00:00,Economic Theory,2021-10-19
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,California Institute of Technology,Division of the Humanities and Social Sciences,,,Econ2021-22,2022-01-31 00:00:00,Economic theory/Economic history,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,California State University San Bernardino ,Academic Affairs,Economics,TBD,,2022-10-31 00:00:00,,2021-11-01
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,"California State University, Fresno",Craig School of Business ,Department of Economics,,,2021-11-19 00:00:00,Stratification Economics/Racial/Ethnic Stratification/Labor Economics/Public economics,2021-11-19
Full-Time Nonacademic,Principal Quantitative Modeler,Capital One ,,,,,2021-11-26 00:00:00,,
International: Other Academic (Part-time or Adjunct),Post-Doctoral Fellow,"Center for Disease Dynamics, Economics and Policy (CDDEP)",,,,,2021-11-24 00:00:00,"Health Economics, Development Economics, Environmental Economics, Applied Economics",
Full-Time Nonacademic,Research Manager,Center for Education Policy Research at Harvard University,,,,,2022-07-31 00:00:00,Education Research/Postsecondary Education/K12 Education/Statistical Methods,
"Other Nonacademic (Temporary, Part-Time, Non-Salaried, Consulting, Etc.)",Steven M. Teutsch Prevention Effectiveness Fellowship ,Centers for Disease Control and Prevention (CDC),Division of Scientific Education and Professional Development,"Center for Surveillance, Epidemiology, and Laboratory Services","$87,000 plus benefits",,2022-01-21 00:00:00,Economist/Health Economics/Public Health Economics/Health Outcomes/Decision Science/Industrial Engineering/Operations Research/Operations Modeling/Analytic Methods/Decision Simulation/Public Health/Population Health/CDC/Prevention Effectiveness Fellow/Public Policy/Doctoral degree/Health services research/PE Fellowship/CDC Steven M. Teutsch Prevention Effectiveness Fellowship/Centers for Disease Control and Prevention,2022-01-21
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate/Full Professor of Economics,Chapman University,Economic Science Institute,,,,2022-01-31 00:00:00,Experimental Economics/Game Theory/Microeconomics/Market Design,
"Other Nonacademic (Temporary, Part-Time, Non-Salaried, Consulting, Etc.)",Senior Associate - PhD or ABD (2022 Start),Charles River Associates,Multiple,Multiple,,,2021-11-15 00:00:00,Consulting/Economic/Financial/Analysis/Litigation/Strategy /Policies/Policy/Regulation/Diversity/Academics/Research/Team/Clients/Attorneys/Models/Data/Programming/Regression /Statistical/Stata/SAS/R /Python/OTC/Mergers/Competition/Antitrust/Life Sciences/Finance/Financial Economics/Economics/Finance/Accounting /Industrial organization/Applied microeconomics/Microeconomics/Econometrics/Labor/Health/Intellectual property/Pricing/Corporate finance/Financial accounting/Quantitative/Teaching/Mandarin /Chinese /Employment,2021-11-15
Full-Time Nonacademic,Director,City of Seattle,,Office of Economic and Revenue Forecasts," $110,392.56 - $182,115.36",,2021-10-18 00:00:00,Economic and tax revenue forecasting,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Professor/Associate Professor/Assistant Professor (Economics) in the Department of Economics and Finance,City University of Hong Kong,,Department of Economics and Finance,,682928,2022-01-31 00:00:00,,2021-10-15
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Professor/Associate Professor/Assistant Professor (Finance) in the Department of Economics and Finance,City University of Hong Kong,,Department of Economics and Finance,,682933,2022-01-31 00:00:00,,2021-10-15
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Chair Professor/Professor/Associate Professor/Assistant Professor ,City University of Hong Kong,,Department of Political Economy/Urban Economics/Public Finance,,682437,2022-01-31 00:00:00,,2021-10-15
Full-Time Nonacademic,Research Analyst - Economist,CNA,Resources and Force Readiness ,,,,2021-12-03 00:00:00,Economist,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Colby College,,Economics,,,2022-01-31 00:00:00,Environmental Economics,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,College of the Holy Cross,,Department of Economics and Accounting,,,2021-11-15 00:00:00,,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant, Associate or Full Professor Position (Management Division)",Columbia Business School,Management Division,,,,2022-01-31 00:00:00,economics/business economics/organizational behavior/organizational theory/management/business management,2021-10-29
US: Other Academic (Visiting or Temporary),Earth Institute Postdoctoral Research Program in Sustainable Development,Columbia University ,Earth Institute ,,,,2021-10-27 00:00:00,Sustainability /Sustainable Development ,2021-10-27
Full-Time Nonacademic,Senior Economist,Compass Lexecon,,,,,2021-11-14 00:00:00,Economic Consulting ,2021-11-14
Full-Time Nonacademic,"Heath Policy, Climate and Energy, and Industrial Organization Experts",Congressional Budget Office,Microeconomic and Health Policy Divisions,,,,2022-01-31 00:00:00,Health Economics/Climate/Industrial Organization /Environment/Federal Budget/Public Policy ,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor in Applied Economics and Policy,Cornell University,,,,170503,2021-12-01 00:00:00,Applied Economics and Policy,2021-10-21
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Applied Economics and Policy,Cornell University,,,,169666,2021-11-30 00:00:00,Applied Economics and Policy,2021-10-21
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenure Track Faculty Position – Open Rank,Cornell University,,,,170857,2021-11-01 00:00:00,Strategy/Business Economics,2021-11-01
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenure Track Faculty Positions – Finance Area,Cornell University,,,,170047,2021-09-15 00:00:00,Finance,2021-10-21
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professor,Cornell University,,Economics,,,2021-11-26 00:00:00,Labor Economics/Macroeconomics,2021-11-26
US: Other Academic (Visiting or Temporary),Postdoctoral Associate,Cornell University,ILR School Outreach/Extension Division ,,"60,0000",,2021-10-31 00:00:00,"labor relations, management, sociology, political science, economics, global supply chains, corporate social responsibility, corporate sustainability, corporate greenwashing, labor relations ",
US: Other Academic (Visiting or Temporary),Assistant Research Professor,Cornell University,Office of the Vice Provost for Research,Center for Data Science for Enterprise and Society,,,2021-12-31 00:00:00,data science,2021-10-15
US: Other Academic (Visiting or Temporary),Postdoctoral Associate - Social Sciences,Cornell University,Research,Cornell Center for the Social Sciences,,,2021-10-15 00:00:00,public opinion /survey research/social sciences,
Full-Time Nonacademic,Associate,Cornerstone Research,,,,,2022-07-31 00:00:00,,
Full-Time Nonacademic,Senior Economist,Cornerstone Research,,,,,2022-01-31 00:00:00,,
Full-Time Nonacademic,"Position in Macroeconomics, International Economics and Related Fields",CREi (Centre de Recerca en economia Internacional),,,,,2021-11-15 00:00:00,Macroeconomics/International Economics/Monetary Economics/Financial Economics/Growth/Development/International Trade/Economic Geography/Political Economy,2021-11-15
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor Positions (Tenure Track),CUNEF Universidad,,,,,2021-11-15 00:00:00,,2021-11-15
Full-Time Nonacademic,Research Scientist,CyberAgent,Internet Advertising Business,AI Business Unit,from 8000000 yen (approx.73000 USD),,2022-01-31 00:00:00,Research Scientist/Applied Scientist/Economist/Economics/Micro-economics/Causal Inference/Data analysis/Mechanism Design/Behavioral economics/Reinforcement Learning/AI/ML/Marketing/Industrial organization,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,Dartmouth College,,Quantitative Social Science ,,,2022-07-31 00:00:00,Race and Racism,
Full-Time Nonacademic,Economist,Department of Defense,Office of the Secretary of Defense,CAPE (Cost Assessment and Program Evaluation),,,2021-11-15 00:00:00,Defense Economics/Labor Economics/Health Economics/Public Economics/Microeconomics,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor/Associate Professor/Full Professor,Dongbei Univeristy of Finance and Economics,,,,,2022-01-31 00:00:00,,2021-12-10
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Faculty Position in Economic History,Duke Kunshan University,,,,,2022-01-31 00:00:00,Economic History,2021-10-15
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Faculty Position in Economics,Duke Kunshan University,,,,,2022-01-31 00:00:00,industrial organization/financial economics/international economics/public economics/econometrics,2021-10-15
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Faculty Position in Macroeconomics,Duke Kunshan University,,,,,2022-01-31 00:00:00,macroeconomics,2021-10-15
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Faculty Position in Social Science,Duke Kunshan University,,,,,2022-01-31 00:00:00,methodology/methodologist/social science/data science/computational social science,2021-10-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Finance,Duke University,Fuqua School of Business,Finance Area,,,2021-11-15 00:00:00,,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Strategy,Duke University,Fuqua School of Business,Strategy area,,,,"strategy, innovation, entrepreneurship",2021-12-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenured or Tenure-track Professor in Public Policy and Economics,Duke University,Sanford School of Public Policy,,,,2021-10-15 00:00:00,Economic Inequality/Stratification Economics/Economic Disparaties,2021-10-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Duke University,The Fuqua School of Business,Economics area,,,2022-07-31 00:00:00,Economics ,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Eckerd College,Behavioral Sciences,Economics,,,2021-10-15 00:00:00,Principles of Microeconomics  /Principles of Macroeconomics/Statistics/Intermediate Microeconomic Theory  /Econometrics /Labor Economics /Industrial Organization /Public Finance /Health Economics /Intro to Microeconomics of Environment for Environmental Studies,2021-10-15
Full-Time Nonacademic,Principal Consultant,"Edgeworth Economics, LLC.",,,,,2022-01-31 00:00:00,economic consulting/quantitative/Tableau/data analytics/research/Tableau/econometrics/litigation consulting/economist,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,El Colegio de México,,Economics,,,2021-11-28 00:00:00,Macroeconomics/Industrial Organization/Environmental Economics/Natural Resource Economics,2021-11-28
Full-Time Nonacademic,Economist,Emmis Communications,Digonex,Economist Team,,,2022-07-31 00:00:00,Dynamic Pricing/Revenue Management/Demand Estimation/Applied Econometrics /Industrial Organization/Applied Microeconomics/Mathematical &amp; Quantitative Methods/Econometric &amp; Statistical Methods/Market Structure &amp; Pricing,2021-12-12
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Adv. Asst. or Associate in Applied Microeconomics,Emory University,Emory College of Arts and Sciences,Economics,,,2022-01-31 00:00:00,Applied Microeconomics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate Professor in Econometrics,Emory University,Emory College of Arts and Sciences,Economics,,,2022-01-31 00:00:00,Econometrics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",General Economics,Emory University,Emory College of Arts and Sciences,Economics,,,2022-01-31 00:00:00,General Economics/Lecture-track,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant Professor, Economics",Fairfield University,Dolan School of Business,Economics,,,2021-11-24 00:00:00,tenure track/faculty/macroeconomics,2021-10-22
Full-Time Nonacademic,Lead Economist ,Fannie Mae,Economic &amp; Strategic Research,,,,2022-01-31 00:00:00,Housing Market/Research/Mortgage/Economics/Strategic/Business Strategy/Financial/Excel/Tableau/Python/R Programing/Forecasting,
Full-Time Nonacademic,Research Economist,Fannie Mae,Economic and Strategic Research,,,,2022-08-31 00:00:00,economist/climate/demography/urban policy/housing/real estate economics/mortgages/energy,
Full-Time Nonacademic,Economist,Federal Communications Commission,Office of Economics and Analytics,,"GS-12 to GS-15, $87,198 to $172,500 ",,2021-12-09 00:00:00,General Economics/Applied Microeconomics/Industrial Organization/Applied Econometrics/Data/Policy Analysis/Regulatory Economics/Merger Analysis/Telecommunications/Media Regulation/Auction Theory ,
Full-Time Nonacademic,Financial Economist,Federal Reserve Bank of Atlanta,,Research Department,,,2021-11-30 00:00:00,Financial Economics,
Full-Time Nonacademic,Research Economist or Senior Research Economist – Program on Economic Inclusion,Federal Reserve Bank of Cleveland,,Research,,,2021-11-30 00:00:00,Economic Inclusion/Economic Development,
Full-Time Nonacademic,Economists / Senior Economists,Federal Reserve Bank of Dallas,,Economic Research,,,2021-11-15 00:00:00,,
Full-Time Nonacademic,Research Economist,Federal Reserve Bank of Minneapolis,Research Division,Research Department,,,2022-02-01 00:00:00,,
Full-Time Nonacademic,PhD Economist,Federal Reserve Bank of New York,,Research and Statistics Group,,,2021-11-19 00:00:00,,2021-11-19
Full-Time Nonacademic,Economist,Federal Reserve Bank of San Francisco,,Economic Research,,,2021-11-24 00:00:00,,2021-11-24
Full-Time Nonacademic,Economist - Division of Consumer and Community Affairs,Federal Reserve Board,Consumer &amp; Community Affairs,,,,2021-09-30 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics (21-96) ,Francis Marion University,Economics,School of Business,,,2022-01-31 00:00:00,Assistant Professor of Economics,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professor,Fudan University,,,,,2021-11-15 00:00:00,Economics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Korea Foundation-Song Family Assistant Professorship in Korean Business and Economics,Georgetown Univeristy,Walsh School of Foreign Service,Asian Studies Program,,,2021-10-21 00:00:00,Korean Econonmic Development/Political Economy East Asia/Business East Asia,2021-10-21
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenure-Line Assistant Professor in Computational Social Science,Georgetown University,,McCourt School of Public Policy,Competitive,,,Computational Social Science/Political Methodology/Public Policy,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenure-Line McCourt Chair of Public Policy,Georgetown University,,McCourt School of Public Policy,Competitive,,2022-08-01 00:00:00,Public Policy/political science/sociology/economics/ethics/law/psychology/demography,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant/Associate Professor, International Relations, International Political Economy",Georgetown University ,,McDonough School of Business,Competitive,JR10769,2021-10-01 00:00:00, International Political Economy,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate Professor [Industrial Organization / Environmental Economics],Georgetown University ,McDonough School of Business ,"Strategy, Economics, Ethics, and Public Policy ",Competitive,JR10938,2022-07-31 00:00:00,Industrial Organization/Environmental Economics ,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)", Faculty Position in Environmental Economics,Georgetown University ,"The Georgetown Environment Initiative, the McDonough School of Business, and the Graduate School of Arts and Sciences",,Competitive,JR11140,2021-11-30 00:00:00,environmental or ecological economics,2021-11-30
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Core Faculty Position in Economics  Associate Professor / Professor,Georgetown University in Qatar,,,,2522733,2022-01-31 00:00:00,,2021-12-01
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Clinical Assistant Professor,Georgia State University,Andrew Young School of Policy Studies,Department of Economics,TBD,,2022-01-31 00:00:00,"Economics Education, Teaching",2021-11-15
US: Other Academic (Visiting or Temporary),Limited Term Faculty,Georgia State University,Andrew Young School of Policy Studies,Department of Economics,TBD,,2022-01-31 00:00:00,"Teaching, Any Field",
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,Getulio Vargas Foundation,EPGE Brazilian School of Economics and Finance (FGV EPGE),Economics,,,2021-11-20 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Open Rank, Tenure-Track Faculty Position in Marketing",Gies College of Business,,Department of Business Administration,,,2021-09-02 00:00:00,marketing/quantitative/strategy/faculty/tenure-track/open rank/faculty/business/business administration/marketing strategy,
Full-Time Nonacademic,"Event Application: Global Investment Research, Macro Research, Associate",Goldman Sachs,Global Investment Resarch ,Macro Research ,,,2022-01-31 00:00:00,Macro Research,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Faculty Positions in Political Economy,"Graduate School of Business, Stanford University",Political Economy,,,,2021-11-30 00:00:00,,2021-11-30
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","119895 - Associate Professor, Energy Economics","Griffith University, Queensland",Centre of Applied Energy Economic Policy Research (CAEEPR),"Department of Accounting, Finance &amp; Economics","$144,806-$159,532 Salary package inclusive of 17% employer superannuation, $169,423-$186,653",,2021-10-01 00:00:00,"Energy Economics, Griffith Business School",2021-10-25
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor in Financial Economics (W1) (f/m/x) ,Halle Institute for Economic Research (IWH) ,Financial Markets,,,,2021-11-28 00:00:00,Corporate Finance/Empirical Economics/Financial Economics/Financial Intermediation/Financial Stability/Policy Evaluation,2021-10-22
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Hamilton College,,,,,2021-11-19 00:00:00,Industrial Organization,2021-11-19
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenure-Track Position in Economics,Harvard Business School,,"Business, Government, and the International Economy",,,2021-11-15 00:00:00,,2021-11-01
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,Harvard Business School,,Entrepreneurial Management,,,2021-11-30 00:00:00,Entrepreneurship/Innovation/Economics/Finance,2021-10-30
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,Harvard Business School,,"Negotiation, Organizations &amp; Markets",,,2021-11-15 00:00:00,Behavioral Economics/Decision-Making/Negotiation/Trust/Motivation/Incentives/Market Design/Behavioral Ethics,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant or Associate Professor of Health Care Policy,Harvard Medical School,,Health Care Policy,,,2022-01-31 00:00:00,,
US: Other Academic (Visiting or Temporary),Post-Doctoral Fellow,Harvard T.H. Chan School of Public Health,,Department of Global Health and Population,,,,health economics/evaluation/development,
US: Other Academic (Visiting or Temporary),Inequality in America Initiative Postdoctoral Fellowship,Harvard University,Faculty of Arts &amp; Sciences,Division of Social Science,71000,,2021-11-12 00:00:00,inequality/race/gender/ethnicity/United States,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenured Professor in Economics,Harvard University,Faculty of Arts and Sciences,Economics,,,2021-09-07 00:00:00,faculty/instructor/tenure/professor/senior/Boston/Cambridge/Massachusetts/MA/Northeast/New England,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Environmental Economics,Harvey Mudd College,,"Humanities, Social Sciences and the Arts",,,2021-09-21 00:00:00,Environmental Economics/Heterodox Economics/Macroeconomics/Economics of Race/Feminist Economics/Ecological Economics/Labor Economics/Development Economics/Critical Political Economy/Post-Marxist Economics/Post-Keyenesian Economics,
